attraction_name,Rating,description,Best Time To Visit,country
Sri Vadapathira Kaliamman Temple,3.2,"Sri Vadapathira Kaliamman Temple is a Hindu Temple located on 555 Serangoon Road of Little India. It is dedicated to Vadapathira and Kaliamman deities, the female counterpart to the Brihadeeswarar Temple located in Thanjavur of the Indian state of Tamil Nadu.",,singapore
Chestnut Park,3.2,"Chestnut Nature Park is the largest national park in Singapore, located on the eastern end of Chestnut Avenue near Central Catchment Nature Reserve. Spread over a whopping 81 hectares, the Park is home to meticulously set-up exclusive walking, hiking, and mountain biking trails. The only nature park in Singapore with separate trails for these activities, Chestnut Nature Park is also known for its rich biodiversity, making it a great location for photographers, bird lovers, nature enthusiasts, and families.",,singapore
The Arts House Singapore,3.2,"The Arts House is a venue for literary, performing, and visual arts located at Old Parliament Lane, Singapore. Known to the locals as the Old Parliament House, the Arts House occupies the 200-year-old building that housed Singapore’s first parliament. Now a gazetted national monument, this space presents a brilliant juxtaposition of colonial architecture, historically significant venues, and the performing arts.",,singapore
First Generation Sculpture,3.2,"The First Generation Sculpture is a major tourist attraction which adorns the banks of the Singapore River near the Fullerton Hotel. It is one of the rarest pieces of art, portraying five boys playing by the bank. It has beautifully captured the essence of the carefree days of the first immigrants of Singapore by freezing the motion of the boys about to jump into the river, naked.
In the former days, swimming in the river was a common pastime. The Singapore River was but a huge swimming pool, and the residents had the time of their lives in it. This life-like sculpture is a revival of the fun-filled days of Singapore as it used to be earlier.",,singapore
Old Hill Street Police Station,3.2,"An architectural marvel, the Old Hill Street Police Station is a famed neo-Renaissance building of the former police station in Singapore. Located in the Central Area of Singapore's Central Business District, the building is popular for the techni-coloured shutters - the 927 painted windows with an array of radiant colours is a popular spot among photography enthusiasts and art lovers. Formerly MICA Building, the Old Hill Street Police Station houses a string of well-known commercial art galleries.",,singapore
Padang Singapore,3.1,"The Padang is an open expanse field located within the Downtown Core of Central Area of Singapore. The Padang, which translates into 'Field' in Malay, has its own share of history. Today, owing to its central location and historical importance, the Padang is a popular venue for events (including the Singapore National Day Parade), recreational activities and sports. On one side of it lies the Singapore Recreation Club and on the other lies the Singapore Cricket Club. Some of the games played here include football, rugby, hockey, line dancing, and cricket.",,singapore
Loyang Tua Pek Kong,3.1,"The Loyang Tua Pek Kong is a multi-religious temple in Singapore, hosting three varied religions under a single roof - Hinduism, Buddhist and Taoism. En route Changi Village, this all-faith temple even has a shrine dedicated to Datuk Kung, a Malay mystic saint. Epitomizing the cosmopolitan soul of Singapore, Loyang Tua Pek Kong houses a 2-metre tall statue of Lord Ganesh, believed to the tallest in the country. Marvel at the intricate wooden carvings and hundreds of dazzling sculptures of different deities.",,singapore
Sri Thendayuthapani Temple,3.1,"Sri Thendayuthapani Temple, on Tank Road, is one of Singapore's most beautiful and vibrant temples. Completed in 1859, it is also one of the oldest. Since the temple was built by the Nattukkotai Chettiyar community, who were Shaivas or worshipers of Lord Shiva, the temple is also often called Chettiyar's Temple. It is constructed in Dravidian, or South Indian style of architecture, whose highlight is the colourful roof, or the gopuram. The interior of the temple is large and spacious. The pillars and a part of the ceilings are done in a beautiful golden colour. The magnificence, and vibrancy of the temple led it to be gazetted as a National Monument in October 2014.",,singapore
Sri Sivan Temple,3.1,"Situated at the Geylang Avenue in Singapore, the stupendous Sri Sivan Temple is a place of worship of the Hindu God, Lord Shiva, the presiding deity of the temple. This magnificent temple can very well be considered as a modern structure, with the fusion of both South and North Indian architectural influences adding to the aura of this holy place. There are six main prayers held here on a daily basis, and the temple has a specific time for the performance of the same.",,singapore
STPI Singapore,3.1,"The Singapore Tyler Print Institute is a renowned international space for artistic experimentation in contemporary art through print and paper mediums. Located next to National Gallery Singapore and Singapore Art Museum, the STPI or Singapore- Creative Workshop & Gallery is an ideal place for such tourists that have a creative bent of mind and love exploring the world of art. It’s a non-profit entity that is dedicated to offering support to budding artists in creating modern artworks as well as to offer expertise in areas like printing.",,singapore
Burmese Buddhist Temple Singapore,3.1,"Burmese Buddhist Temple is one of the most popular among the myriad of Buddhist temples in Singapore, located near the Sun Yat Sen Nanyang Memorial Hall. This place of worship is the oldest Theravada institution and the sole Burmese Buddhist Temple with traditional Burmese architecture in Singapore. The colossal temple is guarded by two lion-like figures, known as chinthes, along with a huge, pure white marble statue of Buddha, which is a sight to behold.",,singapore
Capitol Theatre Singapore,3.1,"Capitol Theatre, also known as Kyo-Ei-Gekijo, is situated in the heart of Singapore’s civic district. It is a historic cinema and theatre which was designed by Richard Meier and Partners and is known to become South-east Asia’s largest single-screen cinema. The Capitol Theatre in Singapore is an epicentre of creativity which hosts several theatre and dance productions.",,singapore
